Body Regions;A01
Retinal Dystrophies;C11.768.585.658
Retinitis Pigmentosa;C11.768.585.658.500
Kearns-Sayre Syndrome;C11.768.585.658.500.627
Usher Syndromes;C11.768.585.658.500.813
Retinoschisis;C11.768.585.865
Retinal Detachment;C11.768.648
Retinal Dysplasia;C11.768.660
Retinal Hemorrhage;C11.768.710
Retinal Neoplasms;C11.768.717
Retinoblastoma;C11.768.717.760
Retinal Neovascularization;C11.768.725
Retinal Perforations;C11.768.740
Retinal Telangiectasis;C11.768.748
Retinal Vasculitis;C11.768.757
Retinal Vein Occlusion;C11.768.760
Retinitis;C11.768.773
Chorioretinitis;C11.768.773.348
Cytomegalovirus Retinitis;C11.768.773.360
Retinal Necrosis Syndrome, Acute;C11.768.773.674
Retinopathy of Prematurity;C11.768.836
Vitreoretinopathy, Proliferative;C11.768.890
Scleral Diseases;C11.790
Scleritis;C11.790.500
Uveal Diseases;C11.941
Choroid Diseases;C11.941.160
Choroid Hemorrhage;C11.941.160.177
Choroid Neoplasms;C11.941.160.238
Choroidal Neovascularization;C11.941.160.244
Choroideremia;C11.941.160.300
Choroiditis;C11.941.160.478
Chorioretinitis;C11.941.160.478.400
Pars Planitis;C11.941.160.478.700
Gyrate Atrophy;C11.941.160.578
Iris Diseases;C11.941.375
Aniridia;C11.941.375.060
WAGR Syndrome;C11.941.375.060.950
Exfoliation Syndrome;C11.941.375.285
Iridocorneal Endothelial Syndrome;C11.941.375.322
Iridocyclitis;C11.941.375.360
Iris Neoplasms;C11.941.375.375
Iritis;C11.941.375.385
Uveal Neoplasms;C11.941.855
Choroid Neoplasms;C11.941.855.198
Iris Neoplasms;C11.941.855.400
Uveitis;C11.941.879
Panuveitis;C11.941.879.780
Ophthalmia, Sympathetic;C11.941.879.780.500
Uveitis, Anterior;C11.941.879.780.880
Behcet Syndrome;C11.941.879.780.880.200
Iridocyclitis;C11.941.879.780.880.400
Iritis;C11.941.879.780.880.448
Uveitis, Posterior;C11.941.879.780.900
Choroiditis;C11.941.879.780.900.300
Chorioretinitis;C11.941.879.780.900.300.318
Pars Planitis;C11.941.879.780.900.300.659
Uveitis, Intermediate;C11.941.879.900
Pars Planitis;C11.941.879.900.500
Uveitis, Suppurative;C11.941.879.960
Panophthalmitis;C11.941.879.960.580
Uveomeningoencephalitic Syndrome;C11.941.879.980
Vision Disorders;C11.966
Amblyopia;C11.966.073
Blindness;C11.966.075
Amaurosis Fugax;C11.966.075.125
Blindness, Cortical;C11.966.075.250
Deaf-Blind Disorders;C11.966.075.375
Usher Syndromes;C11.966.075.375.500
Wolfram Syndrome;C11.966.075.375.750
Hemianopsia;C11.966.075.500
Color Vision Defects;C11.966.256
Diplopia;C11.966.339
Night Blindness;C11.966.671
Photophobia;C11.966.741
Scotoma;C11.966.811
Susac Syndrome;C11.966.858
Vision, Low;C11.966.905
Vitreoretinopathy, Proliferative;C11.975
Vitreous Detachment;C11.980
Male Urogenital Diseases;C12
Genital Diseases, Male;C12.294
Epididymitis;C12.294.199
Fournier Gangrene;C12.294.229
Genital Neoplasms, Male;C12.294.260
Penile Neoplasms;C12.294.260.500
Prostatic Neoplasms;C12.294.260.750
Prostatic Neoplasms, Castration-Resistant;C12.294.260.750.500
Testicular Neoplasms;C12.294.260.937
Sertoli-Leydig Cell Tumor;C12.294.260.937.500
Leydig Cell Tumor;C12.294.260.937.500.249
Sertoli Cell Tumor;C12.294.260.937.500.500
Hematocele;C12.294.287
Hemospermia;C12.294.293
Herpes Genitalis;C12.294.329
Infertility;C12.294.365
Infertility, Male;C12.294.365.700
Aspermia;C12.294.365.700.126
Asthenozoospermia;C12.294.365.700.253
Azoospermia;C12.294.365.700.380
Oligospermia;C12.294.365.700.508
Sertoli Cell-Only Syndrome;C12.294.365.700.754
Penile Diseases;C12.294.494
Balanitis;C12.294.494.136
Balanitis Xerotica Obliterans;C12.294.494.136.500
Hypospadias;C12.294.494.400
Penile Induration;C12.294.494.508
Penile Neoplasms;C12.294.494.591
Phimosis;C12.294.494.684
Paraphimosis;C12.294.494.684.587
Priapism;C12.294.494.786
Prostatic Diseases;C12.294.565
Prostatic Hyperplasia;C12.294.565.500
Prostatic Neoplasms;C12.294.565.625
Prostatic Neoplasms, Castration-Resistant;C12.294.565.625.500
Prostatitis;C12.294.565.750
Reproductive Tract Infections;C12.294.604
Sexual Dysfunction, Physiological;C12.294.644
Dyspareunia;C12.294.644.242
Erectile Dysfunction;C12.294.644.486
Impotence, Vasculogenic;C12.294.644.486.500
Premature Ejaculation;C12.294.644.743
Sexually Transmitted Diseases;C12.294.668
Sexually Transmitted Diseases, Bacterial;C12.294.668.281
Chancroid;C12.294.668.281.201
Chlamydia Infections;C12.294.668.281.301
Lymphogranuloma Venereum;C12.294.668.281.301.490
Gonorrhea;C12.294.668.281.401
Granuloma Inguinale;C12.294.668.281.451
Syphilis;C12.294.668.281.859
Spermatic Cord Torsion;C12.294.693
Spermatocele;C12.294.731
Testicular Diseases;C12.294.829
Cryptorchidism;C12.294.829.258
Orchitis;C12.294.829.493
Testicular Hydrocele;C12.294.882
Tuberculosis, Male Genital;C12.294.909
Varicocele;C12.294.936
Pelvic Floor Disorders;C12.483
Tuberculosis, Urogenital;C12.672
Tuberculosis, Male Genital;C12.672.721
Tuberculosis, Renal;C12.672.847
Urogenital Abnormalities;C12.706
Bladder Exstrophy;C12.706.132
Cryptorchidism;C12.706.258
Disorders of Sex Development;C12.706.316
46, XX Disorders of Sex Development;C12.706.316.064
46, XX Testicular Disorders of Sex Development;C12.706.316.064.124
Gonadal Dysgenesis, 46,XX;C12.706.316.064.249
Hyperandrogenism;C12.706.316.064.500
46, XY Disorders of Sex Development;C12.706.316.096
Androgen-Insensitivity Syndrome;C12.706.316.096.500
Denys-Drash Syndrome;C12.706.316.096.562
Frasier Syndrome;C12.706.316.096.624
Gonadal Dysgenesis, 46,XY;C12.706.316.096.687
Gonadoblastoma;C12.706.316.096.687.500
Kallmann Syndrome;C12.706.316.096.750
WAGR Syndrome;C12.706.316.096.875
Adrenogenital Syndrome;C12.706.316.129
Adrenal Hyperplasia, Congenital;C12.706.316.129.500
Hyperandrogenism;C12.706.316.129.750
Gonadal Dysgenesis;C12.706.316.309
Gonadal Dysgenesis, 46,XX;C12.706.316.309.193
Gonadal Dysgenesis, 46,XY;C12.706.316.309.388
Gonadoblastoma;C12.706.316.309.388.500
Gonadal Dysgenesis, Mixed;C12.706.316.309.391
Sexual Infantilism;C12.706.316.309.631
Turner Syndrome;C12.706.316.309.872
Ovotesticular Disorders of Sex Development;C12.706.316.343
Sex Chromosome Disorders of Sex Development;C12.706.316.795
Freemartinism;C12.706.316.795.124
Gonadal Dysgenesis, Mixed;C12.706.316.795.249
Klinefelter Syndrome;C12.706.316.795.500
Turner Syndrome;C12.706.316.795.750
Epispadias;C12.706.374
Hypospadias;C12.706.516
Multicystic Dysplastic Kidney;C12.706.629
Nephritis, Hereditary;C12.706.742
Retrocaval Ureter;C12.706.811
Urinary Fistula;C12.706.881
Urinary Bladder Fistula;C12.706.881.312
Urogenital Neoplasms;C12.758
Genital Neoplasms, Male;C12.758.409
Penile Neoplasms;C12.758.409.500
Prostatic Neoplasms;C12.758.409.750
Prostatic Neoplasms, Castration-Resistant;C12.758.409.750.500
Testicular Neoplasms;C12.758.409.937
Sertoli-Leydig Cell Tumor;C12.758.409.937.500
Leydig Cell Tumor;C12.758.409.937.500.249
Sertoli Cell Tumor;C12.758.409.937.500.500
Urologic Neoplasms;C12.758.820
Kidney Neoplasms;C12.758.820.750
Carcinoma, Renal Cell;C12.758.820.750.160
Nephroma, Mesoblastic;C12.758.820.750.372
Wilms Tumor;C12.758.820.750.585
Denys-Drash Syndrome;C12.758.820.750.585.220
WAGR Syndrome;C12.758.820.750.585.950
Ureteral Neoplasms;C12.758.820.875
Urethral Neoplasms;C12.758.820.937
Urinary Bladder Neoplasms;C12.758.820.968
Urologic Diseases;C12.777
Kidney Diseases;C12.777.419
AIDS-Associated Nephropathy;C12.777.419.050
Anuria;C12.777.419.078
Diabetes Insipidus;C12.777.419.135
Diabetes Insipidus, Nephrogenic;C12.777.419.135.500
Diabetes Insipidus, Neurogenic;C12.777.419.135.750
Wolfram Syndrome;C12.777.419.135.875
Diabetic Nephropathies;C12.777.419.192
Fanconi Syndrome;C12.777.419.250
Hepatorenal Syndrome;C12.777.419.291
Hydronephrosis;C12.777.419.307
Pyonephrosis;C12.777.419.307.500
Hyperoxaluria;C12.777.419.313
Hyperoxaluria, Primary;C12.777.419.313.500
Hypertension, Renal;C12.777.419.331
Hypertension, Renovascular;C12.777.419.331.490
Kidney Cortex Necrosis;C12.777.419.393
Kidney Diseases, Cystic;C12.777.419.403
Medullary Sponge Kidney;C12.777.419.403.500
Multicystic Dysplastic Kidney;C12.777.419.403.750
Polycystic Kidney Diseases;C12.777.419.403.875
Polycystic Kidney, Autosomal Dominant;C12.777.419.403.875.500
Polycystic Kidney, Autosomal Recessive;C12.777.419.403.875.510
Kidney Neoplasms;C12.777.419.473
Carcinoma, Renal Cell;C12.777.419.473.160
Nephroma, Mesoblastic;C12.777.419.473.372
Wilms Tumor;C12.777.419.473.585
Denys-Drash Syndrome;C12.777.419.473.585.220
WAGR Syndrome;C12.777.419.473.585.950
Kidney Papillary Necrosis;C12.777.419.493
Nephritis;C12.777.419.570
Glomerulonephritis;C12.777.419.570.363
Anti-Glomerular Basement Membrane Disease;C12.777.419.570.363.304
Glomerulonephritis, IGA;C12.777.419.570.363.608
Glomerulonephritis, Membranoproliferative;C12.777.419.570.363.615
Glomerulonephritis, Membranous;C12.777.419.570.363.625
Glomerulosclerosis, Focal Segmental;C12.777.419.570.363.660
Lupus Nephritis;C12.777.419.570.363.680
Nephritis, Hereditary;C12.777.419.570.620
Nephritis, Interstitial;C12.777.419.570.643
Balkan Nephropathy;C12.777.419.570.643.150
Pyelonephritis;C12.777.419.570.643.790
Pyelonephritis, Xanthogranulomatous;C12.777.419.570.643.790.810
Pyelitis;C12.777.419.570.821
Pyelocystitis;C12.777.419.570.821.358
Pyelonephritis;C12.777.419.570.821.717
Pyelonephritis, Xanthogranulomatous;C12.777.419.570.821.717.810
Nephrocalcinosis;C12.777.419.590
Nephrolithiasis;C12.777.419.600
Kidney Calculi;C12.777.419.600.500
Nephrosclerosis;C12.777.419.610
Nephrosis;C12.777.419.630
Nephrosis, Lipoid;C12.777.419.630.477
Nephrotic Syndrome;C12.777.419.630.643
Perinephritis;C12.777.419.685
Renal Artery Obstruction;C12.777.419.775
Renal Insufficiency;C12.777.419.780
Acute Kidney Injury;C12.777.419.780.050
Kidney Tubular Necrosis, Acute;C12.777.419.780.050.500
Cardio-Renal Syndrome;C12.777.419.780.400
Renal Insufficiency, Chronic;C12.777.419.780.750
Kidney Failure, Chronic;C12.777.419.780.750.500
Frasier Syndrome;C12.777.419.780.750.500.500
Renal Nutcracker Syndrome;C12.777.419.787
Renal Osteodystrophy;C12.777.419.795
Renal Tubular Transport, Inborn Errors;C12.777.419.815
Acidosis, Renal Tubular;C12.777.419.815.093
Bartter Syndrome;C12.777.419.815.279
Dent Disease;C12.777.419.815.364
Fanconi Syndrome;C12.777.419.815.450
Gitelman Syndrome;C12.777.419.815.491
Glycosuria, Renal;C12.777.419.815.532
Hypophosphatemia, Familial;C12.777.419.815.647
Familial Hypophosphatemic Rickets;C12.777.419.815.647.500
Liddle Syndrome;C12.777.419.815.683
Oculocerebrorenal Syndrome;C12.777.419.815.720
Pseudohypoaldosteronism;C12.777.419.815.770
Renal Aminoacidurias;C12.777.419.815.885
Cystinuria;C12.777.419.815.885.250
Hartnup Disease;C12.777.419.815.885.457
Tuberculosis, Renal;C12.777.419.912
Uremia;C12.777.419.936
Azotemia;C12.777.419.936.231
Hemolytic-Uremic Syndrome;C12.777.419.936.463
Atypical Hemolytic Uremic Syndrome;C12.777.419.936.463.500
Zellweger Syndrome;C12.777.419.978
Ureteral Diseases;C12.777.725
Ureteral Neoplasms;C12.777.725.676
Ureteral Obstruction;C12.777.725.776
Ureterocele;C12.777.725.876
Ureterolithiasis;C12.777.725.938
Ureteral Calculi;C12.777.725.938.500
Urethral Diseases;C12.777.767
Epispadias;C12.777.767.374
Urethral Neoplasms;C12.777.767.601
Urethral Obstruction;C12.777.767.700
Urethral Stricture;C12.777.767.700.700
Urinary Bladder Neck Obstruction;C12.777.767.700.962
Urethritis;C12.777.767.851
Urinary Bladder Diseases;C12.777.829
Bladder Exstrophy;C12.777.829.132
Cystitis;C12.777.829.495
Cystitis, Interstitial;C12.777.829.495.500
Pyelocystitis;C12.777.829.495.750
Cystocele;C12.777.829.707
Urinary Bladder Calculi;C12.777.829.720
Urinary Bladder Fistula;C12.777.829.733
Urinary Bladder Neck Obstruction;C12.777.829.760
Urinary Bladder Neoplasms;C12.777.829.813
Urinary Bladder, Neurogenic;C12.777.829.839
Urinary Bladder, Overactive;C12.777.829.866
Vesico-Ureteral Reflux;C12.777.829.920
Urinary Tract Infections;C12.777.892
Bacteriuria;C12.777.892.219
Pyuria;C12.777.892.719
Schistosomiasis haematobia;C12.777.892.775
Urination Disorders;C12.777.934
Anuria;C12.777.934.141
Enuresis;C12.777.934.284
Diurnal Enuresis;C12.777.934.284.249
Nocturnal Enuresis;C12.777.934.284.500
Glycosuria;C12.777.934.363
Glycosuria, Renal;C12.777.934.363.450
Hematuria;C12.777.934.442
Oliguria;C12.777.934.600
Polyuria;C12.777.934.616
Proteinuria;C12.777.934.734
Albuminuria;C12.777.934.734.269
Hemoglobinuria;C12.777.934.734.634
Urinary Incontinence;C12.777.934.852
Urinary Incontinence, Stress;C12.777.934.852.249
Urinary Incontinence, Urge;C12.777.934.852.500
Urinary Retention;C12.777.934.880
Urolithiasis;C12.777.967
Nephrolithiasis;C12.777.967.249
Kidney Calculi;C12.777.967.249.500
Ureterolithiasis;C12.777.967.374
Ureteral Calculi;C12.777.967.374.500
Urinary Calculi;C12.777.967.500
Kidney Calculi;C12.777.967.500.503
Ureteral Calculi;C12.777.967.500.851
Urinary Bladder Calculi;C12.777.967.500.925
Female Urogenital Diseases and Pregnancy Complications;C13
Female Urogenital Diseases;C13.351
Genital Diseases, Female;C13.351.500
Adnexal Diseases;C13.351.500.056
Fallopian Tube Diseases;C13.351.500.056.390
Fallopian Tube Neoplasms;C13.351.500.056.390.390
Salpingitis;C13.351.500.056.390.890
Ovarian Diseases;C13.351.500.056.630
Anovulation;C13.351.500.056.630.050
Menopause, Premature;C13.351.500.056.630.250
Oophoritis;C13.351.500.056.630.450
Ovarian Cysts;C13.351.500.056.630.580
Polycystic Ovary Syndrome;C13.351.500.056.630.580.765
Ovarian Hyperstimulation Syndrome;C13.351.500.056.630.642
Ovarian Neoplasms;C13.351.500.056.630.705
Brenner Tumor;C13.351.500.056.630.705.265
Carcinoma, Endometrioid;C13.351.500.056.630.705.331
Granulosa Cell Tumor;C13.351.500.056.630.705.398
Hereditary Breast and Ovarian Cancer Syndrome;C13.351.500.056.630.705.431
Luteoma;C13.351.500.056.630.705.464
Meigs Syndrome;C13.351.500.056.630.705.531
Sertoli-Leydig Cell Tumor;C13.351.500.056.630.705.648
Thecoma;C13.351.500.056.630.705.765
Primary Ovarian Insufficiency;C13.351.500.056.630.750
Pelvic Inflammatory Disease;C13.351.500.056.750
Endometritis;C13.351.500.056.750.249
Oophoritis;C13.351.500.056.750.500
Parametritis;C13.351.500.056.750.750
Salpingitis;C13.351.500.056.750.875
Endometriosis;C13.351.500.163
Gynatresia;C13.351.500.320
Herpes Genitalis;C13.351.500.342
Infertility;C13.351.500.365
Infertility, Female;C13.351.500.365.700
Reproductive Tract Infections;C13.351.500.630
Sexual Dysfunction, Physiological;C13.351.500.665
Dyspareunia;C13.351.500.665.313
Vaginismus;C13.351.500.665.656
Sexually Transmitted Diseases;C13.351.500.711
Sexually Transmitted Diseases, Bacterial;C13.351.500.711.281
Chancroid;C13.351.500.711.281.201
Chlamydia Infections;C13.351.500.711.281.301
Lymphogranuloma Venereum;C13.351.500.711.281.301.490
Gonorrhea;C13.351.500.711.281.401
Granuloma Inguinale;C13.351.500.711.281.451
Syphilis;C13.351.500.711.281.859
Tuberculosis, Female Genital;C13.351.500.758
Uterine Diseases;C13.351.500.852
Adenomyosis;C13.351.500.852.113
Endometrial Hyperplasia;C13.351.500.852.228
Endometritis;C13.351.500.852.299
Hematometra;C13.351.500.852.495
Pyometra;C13.351.500.852.544
Uterine Cervical Diseases;C13.351.500.852.593
Uterine Cervical Dysplasia;C13.351.500.852.593.074
Atypical Squamous Cells of the Cervix;C13.351.500.852.593.074.249
Squamous Intraepithelial Lesions of the Cervix;C13.351.500.852.593.074.500
Uterine Cervical Erosion;C13.351.500.852.593.112
Uterine Cervical Incompetence;C13.351.500.852.593.120
Uterine Cervical Neoplasms;C13.351.500.852.593.131
Uterine Cervicitis;C13.351.500.852.593.150
Uterine Hemorrhage;C13.351.500.852.691
Menorrhagia;C13.351.500.852.691.449
Metrorrhagia;C13.351.500.852.691.622
Uterine Inversion;C13.351.500.852.726
Uterine Neoplasms;C13.351.500.852.762
Endometrial Neoplasms;C13.351.500.852.762.200
Endometrial Stromal Tumors;C13.351.500.852.762.200.500
Sarcoma, Endometrial Stromal;C13.351.500.852.762.200.500.500
Uterine Cervical Neoplasms;C13.351.500.852.762.850
Uterine Prolapse;C13.351.500.852.833
Uterine Rupture;C13.351.500.852.904
Uterine Perforation;C13.351.500.852.904.500
Uterine Retroversion;C13.351.500.852.952
Vaginal Diseases;C13.351.500.894
Hematocolpos;C13.351.500.894.300
Hydrocolpos;C13.351.500.894.500
Vaginal Discharge;C13.351.500.894.700
Leukorrhea;C13.351.500.894.700.500
Vaginal Fistula;C13.351.500.894.767
Rectovaginal Fistula;C13.351.500.894.767.249
Vesicovaginal Fistula;C13.351.500.894.767.500
Vaginal Neoplasms;C13.351.500.894.834
Vaginismus;C13.351.500.894.870
Vaginitis;C13.351.500.894.906
Atrophic Vaginitis;C13.351.500.894.906.316
Trichomonas Vaginitis;C13.351.500.894.906.633
Vaginosis, Bacterial;C13.351.500.894.906.800
Vulvovaginitis;C13.351.500.894.906.820
Candidiasis, Vulvovaginal;C13.351.500.894.906.820.500
Vulvar Diseases;C13.351.500.944
Pruritus Vulvae;C13.351.500.944.626
Vulvar Lichen Sclerosus;C13.351.500.944.815
Vulvar Neoplasms;C13.351.500.944.819
Vulvitis;C13.351.500.944.902
Vulvar Vestibulitis;C13.351.500.944.902.368
Vulvovaginitis;C13.351.500.944.902.737
Candidiasis, Vulvovaginal;C13.351.500.944.902.737.500
Vulvodynia;C13.351.500.944.951
Pelvic Floor Disorders;C13.351.625
Tuberculosis, Urogenital;C13.351.750
Tuberculosis, Female Genital;C13.351.750.940
Tuberculosis, Renal;C13.351.750.970
Urogenital Abnormalities;C13.351.875
Bladder Exstrophy;C13.351.875.132
Disorders of Sex Development;C13.351.875.253
46, XX Disorders of Sex Development;C13.351.875.253.064
46, XX Testicular Disorders of Sex Development;C13.351.875.253.064.124
Gonadal Dysgenesis, 46,XX;C13.351.875.253.064.249
Hyperandrogenism;C13.351.875.253.064.500
46, XY Disorders of Sex Development;C13.351.875.253.096
Androgen-Insensitivity Syndrome;C13.351.875.253.096.500
Denys-Drash Syndrome;C13.351.875.253.096.562
Frasier Syndrome;C13.351.875.253.096.624
Gonadal Dysgenesis, 46,XY;C13.351.875.253.096.687
Gonadoblastoma;C13.351.875.253.096.687.500
Kallmann Syndrome;C13.351.875.253.096.750
WAGR Syndrome;C13.351.875.253.096.875
Adrenogenital Syndrome;C13.351.875.253.129
Adrenal Hyperplasia, Congenital;C13.351.875.253.129.500
Hyperandrogenism;C13.351.875.253.129.750
Gonadal Dysgenesis;C13.351.875.253.309
Gonadal Dysgenesis, 46,XX;C13.351.875.253.309.193
Gonadal Dysgenesis, 46,XY;C13.351.875.253.309.388
Gonadoblastoma;C13.351.875.253.309.388.500
Gonadal Dysgenesis, Mixed;C13.351.875.253.309.391
Sexual Infantilism;C13.351.875.253.309.631
Turner Syndrome;C13.351.875.253.309.872
Ovotesticular Disorders of Sex Development;C13.351.875.253.343
Sex Chromosome Disorders of Sex Development;C13.351.875.253.795
Freemartinism;C13.351.875.253.795.124
Gonadal Dysgenesis, Mixed;C13.351.875.253.795.249
Klinefelter Syndrome;C13.351.875.253.795.500
Turner Syndrome;C13.351.875.253.795.750
Epispadias;C13.351.875.374
Hypospadias;C13.351.875.466
Multicystic Dysplastic Kidney;C13.351.875.558
Nephritis, Hereditary;C13.351.875.742
Retrocaval Ureter;C13.351.875.811
Urinary Fistula;C13.351.875.881
Urinary Bladder Fistula;C13.351.875.881.312
Vesicovaginal Fistula;C13.351.875.881.312.733
Urogenital Neoplasms;C13.351.937
Genital Neoplasms, Female;C13.351.937.418
Fallopian Tube Neoplasms;C13.351.937.418.365
Ovarian Neoplasms;C13.351.937.418.685
Brenner Tumor;C13.351.937.418.685.265
Carcinoma, Endometrioid;C13.351.937.418.685.331
Granulosa Cell Tumor;C13.351.937.418.685.398
Hereditary Breast and Ovarian Cancer Syndrome;C13.351.937.418.685.431
Luteoma;C13.351.937.418.685.464
Meigs Syndrome;C13.351.937.418.685.531
Sertoli-Leydig Cell Tumor;C13.351.937.418.685.648
Thecoma;C13.351.937.418.685.765
Uterine Neoplasms;C13.351.937.418.875
Endometrial Neoplasms;C13.351.937.418.875.200
Carcinoma, Endometrioid;C13.351.937.418.875.200.124
Endometrial Stromal Tumors;C13.351.937.418.875.200.374
Sarcoma, Endometrial Stromal;C13.351.937.418.875.200.374.500
Uterine Cervical Neoplasms;C13.351.937.418.875.850
Vaginal Neoplasms;C13.351.937.418.937
Vulvar Neoplasms;C13.351.937.418.968
Urologic Neoplasms;C13.351.937.820
Kidney Neoplasms;C13.351.937.820.535
Carcinoma, Renal Cell;C13.351.937.820.535.160
Wilms Tumor;C13.351.937.820.535.585
Denys-Drash Syndrome;C13.351.937.820.535.585.220
WAGR Syndrome;C13.351.937.820.535.585.950
Nephroma, Mesoblastic;C13.351.937.820.535.790
Ureteral Neoplasms;C13.351.937.820.875
Urethral Neoplasms;C13.351.937.820.890
Urinary Bladder Neoplasms;C13.351.937.820.945
Urologic Diseases;C13.351.968
Kidney Diseases;C13.351.968.419
AIDS-Associated Nephropathy;C13.351.968.419.050
Anuria;C13.351.968.419.078
Diabetes Insipidus;C13.351.968.419.135
Diabetes Insipidus, Nephrogenic;C13.351.968.419.135.500
Diabetes Insipidus, Neurogenic;C13.351.968.419.135.750
